ProfileName,ProductId,Summary,Text
"Michele ""shivanslayer""",B001D09KAM,OUTSTANDING FLAVOR,This is a product that goes beyond the 5 Star review - The bars are absolutely delicious.  I just ordered some to be sent to my son at college.  I definitely will be back for more and the Cranberry Almond is a flavor explosion when you bite into it.  A truly wonderful product.
"J. Shockley ""Kansas Born!!""",B00076KWQY,Sunflower Cookies,I ordered 10 packages and they didn't last long. Delicious!!Excellent Customer Service! Quick Ship! Well boxed.Thank you for offering on-line.  I will order more in future.  = )
British Reader,B001E5E2AE,You'll never go back....,"to using bouillon cubes once you've used and tasted this great product.You'll also wonder why you've been taking pantry space for years with cartons and cans. This is an amazingly simple and easy-to-use packaging concept (no scissors, no can-opener) for a first-rate chicken broth with a really deep home-made taste. The Beef version is excellent too."
"Beverly ""Beverly""",B003X0RUN4,The best,"This is the best terriyaki sauce I have found.  It is so hard to find the terriyaki sauce, plenty of the other sauces, but I have a receipe for this only.  I make a sauce for chicken wings.  I am so happy to find it here at Amazon.  Thanks Amazon."
wonderer,B00002N8SM,Doesn't work!! Don't waste your money!!,Worst product I have gotten in long time. Would rate it as no star if I could.  Simply did not catch a single fly or bug of any sort.  Went to the hardware store and bought the old-fashioned spiral fly paper which was very effective.  Had an unuasual influx of flys in the house this fall and needed to do something.
Hervian Rose,B008O3G2K2,I can't get my dogs to lick the container.,"Maybe because we have all working dogs, it's hard to get them to take treats from the hand, and they won't lick the roller.  Then I rolled it on their muzzle like an antiperspirant they seemed to like it.It's a great idea and a wonderful product to use if your pet will cooperate. It is clean, you can keep it in your pocket and not end up with little bits of kibble in the laundry.Our dogs are Great Pyrenees and Border Collie.  I'd love to hear how it works with other breeds."
meadeweber,B003VXFK44,Good coffee,"Good flavor.  Coconut flavor is subtle and not overpowering.  In comparison, there is another coconut coffee by Green Mountain in which the coconut flavor is overdone in my opinion."
Steve,B0041QEP4Q,Great pasta,"I have tried many different types of pasta, whole wheat, spelt, gluten-free. This einkorn based pasta is tasty and is packed with protein and fiber. I like my pasta al dente, but I found that you have to cook it longer than is indicated on the package otherwise it's a bit too hard. I no longer feel guilty having some pasta!"
Eco-Friendly Feng Shui Designer,B001CRSR0U,Yummy!,"For a prepared soup, this was very good. Perfectly spiced. I ate it as soup, but you could pour it on some basmati rice, add a green, and you have dinner."
T. Williams,B005GIF5UQ,My kitten loves these!,"These are the only treats I feed my 4 month old kitten. I usually give him 3 treats, 3 times a day.  When it's time for his treat, I yell ""Treat, treat, treat!"" and he come running!"
Fran I. Sugarman,B000EUF9CK,WAY too strong,"I put one square in my mouth and it made me want to vomit. I love most of their other products but this was absolutely volatile. The taste was stuck in my mouth for the rest of the night. Unless you like your chocolate very very very very very dark, do not get this. 88% cacao content is ridiculous- I try to stay below 70-75."
V. Block,B001OCKIP0,"Very, very good","This is an excellent granola. The chunks of granola are large. The semi-sweet chocolate is wonderful with the granola, and the granola is not very sweet. A great combination of flavors."
Janet Davis,B000Z8RZ3M,Maniac Magee,I was very pleased with the butterscotch krimpets. I wanted to use them in my classroom to give my kids a taste of what Jerry Spenelli was talking about in his book Maniac Magee. The kids loved them.
Michael Stefancic,B001JG537O,SOY-Goood!,This are so damn delicious..great texture and taste.  I first tried them at the Toronto Veggie Festival summer 2007 but haven't been able to find them locally since.  Hope Amazon stocks more soon.
Jamie Justice,B000G6TS74,Twin Boys love it,"Our twin boys have been eating this for breakfast from day one of solids(now 22mos old).  We usually blend up some fresh fruit, a little whole milk, and this oatmeal for breakfast.  Only difference from day one of trying it, is that they feed themselves now.  This is an awesome, wholesome, organic choice for parents, and I highly recommend it."
